created_at,model,input_tokens,output_tokens,cached_tokens,total_tokens,ttft,total_duration_s,tps,request_energy_j,request_energy_kwh,attribution_method,gpu_type,gpu_count,server_host,server_status,request_id
2026-05-10 17:48:07.067666,zai-org/GLM-5.1-FP8,26457,260,25792,26717,0.857588529586792,2.960179567337036,87.83,950.113918,0.000263921,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,2273ea70-161f-4ad9-b8ec-873e732a4318
2026-05-10 15:55:48.539372,zai-org/GLM-5.1-FP8,4126,421,0,4547,0.8113536834716797,12.067001342773438,34.89,876.575459,0.000243493,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,ed4f5ec5-e4f4-486d-abd3-f517b4385693
2026-05-10 15:49:53.779745,zai-org/GLM-5.1-FP8,74088,102,73280,74190,1.9709088802337646,3.0711119174957275,33.21,444.570000,0.000123492,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,ceef3841-c9f4-47f7-8fb8-8b8f63e513e7
2026-05-10 15:48:30.982595,zai-org/GLM-5.1-FP8,40566,73,128,40639,2.9804465770721436,3.7120864391326904,19.67,447.580000,0.000124328,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,4c2524c2-a176-4431-bdad-4cb74f07b979
2026-05-10 14:48:07.029695,zai-org/GLM-5.1-FP8,8142,271,0,8413,1.5009825229644775,4.866706371307373,55.68,357.000000,0.000099167,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,010d1c1a-0f99-44f3-a668-3a0b4f387880
2026-05-10 14:25:13.911102,zai-org/GLM-5.1-FP8,6599,2733,4544,9332,0.30446338653564453,52.49078392982483,52.07,7969.224039,0.002213673,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,99e047d6-dc4e-46e0-b7cf-eb09b36f54a3
2026-05-10 14:11:01.349793,zai-org/GLM-5.1-FP8,27843,1878,0,29721,5.855748176574707,63.87921333312988,29.40,14902.246220,0.004139513,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,754e700f-48bf-49b0-8152-4048e1139856
2026-05-10 12:41:07.794134,zai-org/GLM-5.1-FP8,51457,658,51200,52115,0.5641818046569824,11.82578182220459,55.64,2700.320000,0.000750089,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,d5813e98-1b33-4fbd-87ac-3db7df4e66a2
2026-05-10 12:38:42.926926,zai-org/GLM-5.1-FP8,95,643,0,738,0.2551298141479492,18.487200021743774,34.78,348.445533,0.000096790,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,34e3af64-9f0f-4355-8f0e-f1a86080275b
2026-05-10 10:03:26.783204,zai-org/GLM-5.1-FP8,115771,530,0,116301,11.565294742584229,17.269155979156494,30.69,6176.310000,0.001715642,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,74d044f7-60cf-4afd-8e1e-92533290b416
2026-05-10 08:56:08.533791,zai-org/GLM-5.1-FP8,7679,919,7552,8598,0.10912108421325684,8.103960037231445,113.40,784.980000,0.000218050,counter_exact_multi_gpu_8,H200,8,100.98.131.43,active,3ecdb8e8-291d-4e51-8315-a1428a9cbdd4
2026-05-10 02:42:31.41406,zai-org/GLM-5.1-FP8,39740,101,36160,39841,1.1818549633026123,3.1697895526885986,31.86,741.681366,0.000206023,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,4b1638a5-c558-4f8b-8df8-a32d2390afb0
2026-05-10 02:39:16.02174,zai-org/GLM-5.1-FP8,158834,47,158720,158881,0.5980148315429688,1.0963292121887207,42.87,266.280000,0.000073967,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,c399bde5-57fd-42eb-aac2-9a915fe7c9e7
2026-05-10 00:47:13.472946,zai-org/GLM-5.1-FP8,64068,35,63616,64103,0.3863968849182129,1.0536377429962158,33.22,107.215294,0.000029782,prorated_multi_gpu_8,H200,8,100.96.162.67,active,55a8e203-f372-4036-b777-458e0d361d88
2026-05-10 00:45:35.226105,zai-org/GLM-5.1-FP8,9601,1830,0,11431,2.7478187084198,49.83789801597595,36.72,7354.794578,0.002042998,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,3990fcb8-252d-4fba-83b5-53159ae8a221
2026-05-10 00:01:16.647995,zai-org/GLM-5.1-FP8,14106,108,14016,14214,0.294461727142334,2.1252505779266357,50.82,413.156299,0.000114766,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,6231b8f5-d89d-4770-a4db-85177922efa4
2026-05-09 20:26:47.610238,zai-org/GLM-5.1-FP8,37093,119,0,37212,4.618377208709717,8.042303562164307,14.80,2430.540000,0.000675150,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,36c76b5c-9ec4-4df5-9604-3652807a2509
2026-05-09 19:48:34.408118,zai-org/GLM-5.1-FP8,64007,2663,2560,66670,5.914664030075073,34.86888146400452,76.37,11126.290000,0.003090636,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,928c886c-bda1-4b94-a710-cbe960e5f394
